PR,PK,Longitude,Latitude
42.0,1245.0,20518467.297752,5525127.376734
42.0,1250.0,20518497.274493,5525087.994193
42.0,1255.0,20518528.83401,5525048.506041
42.0,1260.0,20518558.885461,5525008.567966
42.0,1265.0,20518590.15749,5524969.301635
42.0,1270.0,20518621.216171,5524929.478613
42.0,1275.0,20518652.629458,5524891.214174
42.0,1280.0,20518682.685786,5524850.386991
42.0,1285.0,20518713.165134,5524812.119662
42.0,1290.0,20518745.230049,5524772.968213
42.0,1295.0,20518775.788396,5524732.921885
42.0,1300.0,20518806.488298,5524693.654811
42.0,1305.0,20518836.25612,5524653.717289
34.0,1230.0,20517741.91231,5524753.327765
34.0,1235.0,20517772.18151,5524711.495211
34.0,1240.0,20517805.310734,5524674.788714
34.0,1245.0,20517836.655129,5524634.2948
34.0,1250.0,20517866.989147,5524595.021205
34.0,1255.0,20517897.829221,5524555.082104
34.0,1260.0,20517927.661469,5524515.584729
34.0,1265.0,20517958.929107,5524477.093348
34.0,1270.0,20517988.909407,5524436.595766
34.0,1275.0,20518020.682092,5524397.883978
34.0,1280.0,20518049.873707,5524356.939188
34.0,1285.0,20518083.440732,5524319.568506
34.0,1290.0,20518113.059882,5524280.07144
34.0,1295.0,20518142.824049,5524240.352573
34.0,1300.0,20518175.822352,5524201.423376
34.0,1305.0,20518206.380402,5524161.151407
38.0,1360.0,20518860.280933,5523974.762542
34.0,1315.0,20518267.419907,5524082.387354
34.0,1320.0,20518297.396007,5524044.449683
34.0,1325.0,20518329.607759,5524004.851393
34.0,1330.0,20518358.511592,5523965.242013
36.0,1330.0,20518518.119568,5524087.136937
36.0,1325.0,20518488.201837,5524128.632842
36.0,1320.0,20518457.211885,5524168.345611
36.0,1315.0,20518425.43852,5524205.94257
38.0,1325.0,20518644.92147,5524251.633943
36.0,1305.0,20518364.68385,5524285.261959
36.0,1300.0,20518333.626436,5524324.196621
36.0,1295.0,20518303.572514,5524364.24714
36.0,1290.0,20518272.012207,5524403.291673
36.0,1285.0,20518242.534501,5524443.344489
36.0,1280.0,20518210.331251,5524481.386163
36.0,1275.0,20518179.1989,5524521.878633
36.0,1270.0,20518147.929564,5524560.479967
36.0,1265.0,20518117.518389,5524600.641545
36.0,1260.0,20518086.898283,5524638.911739
36.0,1255.0,20518057.709387,5524679.411442
36.0,1250.0,20518025.722713,5524718.011078
36.0,1245.0,20517994.665389,5524758.393637
36.0,1240.0,20517965.762498,5524799.784607
36.0,1235.0,20517934.35173,5524838.609161
36.0,1230.0,20517905.234371,5524879.888514
38.0,1230.0,20518057.13411,5525000.854603
38.0,1240.0,20518121.822635,5524924.103192
38.0,1245.0,20518151.088994,5524881.713233
38.0,1250.0,20518181.784238,5524842.220155
38.0,1255.0,20518213.774317,5524802.731633
38.0,1260.0,20518243.894803,5524763.34819
38.0,1265.0,20518275.094021,5524724.079804
38.0,1270.0,20518304.783919,5524684.695238
38.0,1275.0,20518336.417781,5524644.761326
